product_id,store_code,store_name,product_name,sku,niche_term,product_category,regular_price,sale_price,discount_amount,discount_percentage
27554,"RBN","Rabbona","Polera YNWA","RBN-LFC-D2-CR-TL","Liverpool","Adult","200.00","159.99","40.01","20.01"
27554,"RBN","Rabbona","Polera YNWA","RBN-LFC-D2-CN-TL","Liverpool","Adult","200.00","159.99","40.01","20.01"
27625,"RBN","Rabbona","Polera Escudo YNWA","RBN-LFC-D4-CN-T2XL","Liverpool","Adult","180.00","139.99","40.01","22.23"
27625,"RBN","Rabbona","Polera Escudo YNWA","RBN-LFC-D4-CB-TL","Liverpool","Adult","180.00","139.99","40.01","22.23"
27625,"RBN","Rabbona","Polera Escudo YNWA","RBN-LFC-D4-CB-TM","Liverpool","Adult","180.00","139.99","40.01","22.23"
27625,"RBN","Rabbona","Polera Escudo YNWA","RBN-LFC-D4-CR-TS","Liverpool","Adult","180.00","139.99","40.01","22.23"
27648,"RBN","Rabbona","Polera You'll Never Walk Alone - Niño","LFCD1CNT8","Liverpool","Liverpool","160.00","139.99","20.01","12.51"
27648,"RBN","Rabbona","Polera You'll Never Walk Alone - Niño","LFCD1CBT12","Liverpool","Liverpool","160.00","139.99","20.01","12.51"
27668,"RBN","Rabbona","Polera YNWA - Niño","LFCD2CNT10","Liverpool","Liverpool","170.00","145.00","25.00","14.71"
27728,"RBN","Rabbona","Polera You'll Never Walk Alone - Mujer","LFCD1CNTMM","Liverpool","Adult","190.00","155.00","35.00","18.42"
27827,"RBN","Rabbona","Manga Larga YNWA","LFCML2CNT2XL","Liverpool","Adult","230.00","189.99","40.01","17.40"
27827,"RBN","Rabbona","Manga Larga YNWA","LFCML2CBT2XL","Liverpool","Adult","230.00","189.99","40.01","17.40"
27844,"RBN","Rabbona","Manga Larga ANFLD","LFCML3CBTM","Liverpool","Adult","210.00","169.99","40.01","19.05"
27844,"RBN","Rabbona","Manga Larga ANFLD","LFCML3CNTS","Liverpool","Adult","210.00","169.99","40.01","19.05"
27861,"RBN","Rabbona","Manga Larga Escudo YNWA","LFCML4CNTM","Liverpool","Adult","200.00","165.00","35.00","17.50"
27861,"RBN","Rabbona","Manga Larga Escudo YNWA","LFCML4CNT2XL","Liverpool","Adult","200.00","165.00","35.00","17.50"
27861,"RBN","Rabbona","Manga Larga Escudo YNWA","LFCML4CNTL","Liverpool","Adult","200.00","165.00","35.00","17.50"
27878,"RBN","Rabbona","Sudadera You'll Never Walk Alone","LFCSD1CBTM","Liverpool","Adult","240.00","215.00","25.00","10.42"
27878,"RBN","Rabbona","Sudadera You'll Never Walk Alone","LFCSD1CPT2XL","Liverpool","Adult","240.00","215.00","25.00","10.42"
27878,"RBN","Rabbona","Sudadera You'll Never Walk Alone","LFCSD1CBTL","Liverpool","Adult","240.00","215.00","25.00","10.42"
27878,"RBN","Rabbona","Sudadera You'll Never Walk Alone","LFCSD1CNTXL","Liverpool","Adult","240.00","215.00","25.00","10.42"
27912,"RBN","Rabbona","Sudadera ANFLD","LFCSD3CNTXL","Liverpool","Adult","260.00","217.00","43.00","16.54"
27929,"RBN","Rabbona","Sudadera Escudo YNWA","LFCSD4CNTXL","Liverpool","Adult","240.00","205.00","35.00","14.58"
27929,"RBN","Rabbona","Sudadera Escudo YNWA","LFCSD4CNTL","Liverpool","Adult","240.00","205.00","35.00","14.58"
27929,"RBN","Rabbona","Sudadera Escudo YNWA","LFCSD4CNTS","Liverpool","Adult","240.00","205.00","35.00","14.58"
