customer_key,channel_name,niche_term,orders_count,total_spend
"074b0a199f2260e3119f3a5195e950ef681beb145de829390659d8845fe45900","Manual Admin","Boca Juniors",2,"159.97"
"075464ae3062eef8ba60ddc22c95f48b704260899cef1255fbc7333e229b8cb1","Online Web","Oriente Petrolero",1,"619.96"
"0762ae0d88e0aa123871e0be49b240848ea1d59532cd5ac400ebbaa19c8d7a15","Online Web","Oriente Petrolero",1,"59.99"
"0773de3802b8617dc403d5596e5c7ac68b4d73adfe516b4dda32e64ca94a66df","Online Web","Oriente Petrolero",1,"69.98"
"07791ff3ce10e8760a6eac52964a178d0011179529f87d40ff53572448540a83","Manual Admin","PSG",1,"769.93"
"07a6bd52c73f174561d8601fd29da07b9c714bd1eda77359af0180a74bf47160","Manual Admin","Game of Thrones",1,"290.00"
"07ad2412a2c7535c92c7804804e071b838c0d1af937a04f8747882f03a52aed1","Manual Admin","Oriente Petrolero",1,"1799.90"
"07df1769b5c7e169057c8d352c2758c7ad61c712c298db0496059bc4b0f8b8d8","Online Web","Oriente Petrolero",1,"979.93"
"07df1769b5c7e169057c8d352c2758c7ad61c712c298db0496059bc4b0f8b8d8","Other Channels","Oriente Petrolero",1,"69.99"
"07e7623ec378cf284138c335e7a95a5300e662c68349aa022113c88d1cb1146c","Manual Admin","Oriente Petrolero",1,"1099.89"
"07eeb48f05b12e979f2a1f226c29189c9a756872d0045fbf946e40619eb89619","Online Web","Bolivia",1,"839.94"
"07eeb48f05b12e979f2a1f226c29189c9a756872d0045fbf946e40619eb89619","Online Web","Oriente Petrolero",1,"959.92"
"07eeb48f05b12e979f2a1f226c29189c9a756872d0045fbf946e40619eb89619","Other Channels","Bolivia",1,"839.94"
"07eeb48f05b12e979f2a1f226c29189c9a756872d0045fbf946e40619eb89619","Other Channels","Oriente Petrolero",1,"959.92"
"081123b6b6e9b231e0f114d69a786dd5e0aa4be70a361296a7b7601f2591c7dc","Manual Admin","Oriente Petrolero",1,"779.93"
"08188a664e96bc514f3e70c654b1db9b60f0b0d461e182a0a5fb7addc26a65b8","Point of Sale","PSG",1,"986.00"
"0851516ce8effea0ce6cedcf286a797fe96b3feb545847dd37db8652797f678a","Online Web","Oriente Petrolero",1,"1019.94"
"0873fb8c2637f621f2de0a5e11f5b58761c0c2e419192142f18ce35f8a715e12","Point of Sale","Bolivia",1,"49.99"
"0873fb8c2637f621f2de0a5e11f5b58761c0c2e419192142f18ce35f8a715e12","Point of Sale","Chelsea",1,"49.99"
